Year,Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
2010,Asia-Pacific,Afghanistan,30000,31330000,10000,10000,10000,10000,20000,10000,31410000
2010,Europe,Albania,580000,2570000,50000,10000,10000,10000,10000,10000,3200000
2010,Middle East-North Africa,Algeria,60000,34730000,660000,10000,10000,10000,10000,10000,35470000
2010,Asia-Pacific,American Samoa,50000,10000,10000,10000,10000,10000,10000,10000,60000
2010,Europe,Andorra,70000,10000,10000,10000,10000,10000,10000,10000,80000
2010,Sub-Saharan Africa,Angola,17270000,40000,980000,10000,10000,790000,10000,10000,19080000
2010,Latin America-Caribbean,Anguilla,10000,10000,10000,10000,10000,10000,10000,10000,10000
2010,Latin America-Caribbean,Antigua and Barbuda,80000,10000,10000,10000,10000,10000,10000,10000,90000
2010,Latin America-Caribbean,Argentina,34420000,400000,4920000,10000,20000,330000,120000,200000,40410000
2010,Asia-Pacific,Armenia,3050000,10000,40000,10000,10000,10000,10000,10000,3090000
2010,Latin America-Caribbean,Aruba,100000,10000,10000,10000,10000,10000,10000,10000,110000
2010,Asia-Pacific,Australia,14980000,540000,5390000,310000,600000,150000,180000,110000,22270000
2010,Europe,Austria,6750000,450000,1130000,10000,20000,10000,10000,10000,8390000
2010,Asia-Pacific,Azerbaijan,280000,8900000,10000,10000,10000,10000,10000,10000,9190000
2010,Latin America-Caribbean,Bahamas,330000,10000,10000,10000,10000,10000,10000,10000,340000
2010,Middle East-North Africa,Bahrain,180000,890000,20000,120000,30000,10000,10000,10000,1260000
2010,Asia-Pacific,Bangladesh,450000,134430000,10000,12680000,920000,100000,100000,10000,148690000
2010,Latin America-Caribbean,Barbados,260000,10000,10000,10000,10000,10000,10000,10000,270000
2010,Europe,Belarus,6830000,20000,2740000,10000,10000,10000,10000,10000,9600000
2010,Europe,Belgium,6880000,630000,3110000,10000,30000,20000,10000,30000,10710000
2010,Latin America-Caribbean,Belize,270000,10000,30000,10000,10000,10000,10000,10000,310000
2010,Sub-Saharan Africa,Benin,4690000,2110000,450000,10000,10000,1600000,10000,10000,8850000
2010,North America,Bermuda,50000,10000,10000,10000,10000,10000,10000,10000,60000
2010,Asia-Pacific,Bhutan,10000,10000,10000,160000,540000,10000,10000,10000,730000
2010,Latin America-Caribbean,Bolivia,9330000,10000,400000,10000,10000,90000,100000,10000,9930000
2010,Europe,Bosnia-Herzegovina,1970000,1700000,90000,10000,10000,10000,10000,10000,3760000
2010,Sub-Saharan Africa,Botswana,1450000,10000,410000,10000,10000,120000,10000,10000,2010000
2010,Latin America-Caribbean,Brazil,173300000,40000,15410000,10000,250000,5540000,300000,110000,194950000
2010,Latin America-Caribbean,British Virgin Islands,20000,10000,10000,10000,10000,10000,10000,10000,30000
2010,Asia-Pacific,Brunei,40000,300000,10000,10000,30000,20000,10000,10000,400000
2010,Europe,Bulgaria,6150000,1020000,310000,10000,10000,10000,10000,10000,7490000
2010,Sub-Saharan Africa,Burkina Faso,3710000,10150000,70000,10000,10000,2530000,10000,10000,16470000
2010,Sub-Saharan Africa,Burundi,7670000,230000,10000,10000,10000,480000,10000,10000,8380000
2010,Asia-Pacific,Cambodia,50000,280000,30000,10000,13690000,80000,10000,10000,14140000
2010,Sub-Saharan Africa,Cameroon,13780000,3590000,1050000,10000,10000,650000,530000,10000,19600000
2010,North America,Canada,23470000,710000,8050000,470000,280000,390000,300000,350000,34020000
2010,Sub-Saharan Africa,Cape Verde,440000,10000,50000,10000,10000,10000,10000,10000,500000
2010,Latin America-Caribbean,Cayman Islands,50000,10000,10000,10000,10000,10000,10000,10000,60000
2010,Sub-Saharan Africa,Central African Republic,3940000,370000,40000,10000,10000,40000,10000,10000,4400000
2010,Sub-Saharan Africa,Chad,4560000,6210000,280000,10000,10000,160000,20000,10000,11230000
2010,Europe,Channel Islands,130000,10000,20000,10000,10000,10000,10000,10000,150000
2010,Latin America-Caribbean,Chile,15300000,10000,1470000,10000,10000,260000,30000,20000,17110000
2010,Asia-Pacific,China,68410000,24690000,700680000,20000,244110000,294300000,9080000,10000,1341310000
2010,Latin America-Caribbean,Colombia,42810000,10000,3050000,10000,10000,370000,40000,10000,46290000
2010,Sub-Saharan Africa,Comoros,10000,720000,10000,10000,10000,10000,10000,10000,730000
2010,Sub-Saharan Africa,Republic of the Congo,3470000,50000,360000,10000,10000,110000,40000,10000,4040000
2010,Sub-Saharan Africa,Democratic Republic of the Congo,63210000,970000,1170000,30000,10000,490000,100000,10000,65970000
2010,Asia-Pacific,Cook Islands,20000,10000,10000,10000,10000,10000,10000,10000,20000
2010,Latin America-Caribbean,Costa Rica,4230000,10000,370000,10000,10000,40000,10000,10000,4660000
2010,Sub-Saharan Africa,Ivory Coast,8710000,7390000,1570000,10000,10000,2020000,30000,10000,19740000
2010,Europe,Croatia,4110000,60000,230000,10000,10000,10000,10000,10000,4400000
2010,Latin America-Caribbean,Cuba,6670000,10000,2590000,20000,10000,1960000,10000,10000,11260000
2010,Asia-Pacific,Cyprus,810000,280000,10000,10000,10000,10000,10000,10000,1100000
2010,Europe,Czech Republic,2450000,10000,8020000,10000,10000,10000,10000,10000,10490000
2010,Europe,Denmark,4630000,230000,650000,20000,10000,10000,10000,10000,5550000
2010,Sub-Saharan Africa,Djibouti,20000,860000,10000,10000,10000,10000,10000,10000,890000
2010,Latin America-Caribbean,Dominica,70000,10000,10000,10000,10000,10000,10000,10000,70000
2010,Latin America-Caribbean,Dominican Republic,8740000,10000,1080000,10000,10000,90000,10000,10000,9930000
2010,Latin America-Caribbean,Ecuador,13610000,10000,800000,10000,10000,40000,10000,10000,14460000
2010,Middle East-North Africa,Egypt,4120000,76990000,10000,10000,10000,10000,10000,10000,81120000
2010,Latin America-Caribbean,El Salvador,5460000,10000,680000,10000,10000,30000,20000,10000,6190000
2010,Sub-Saharan Africa,Equatorial Guinea,620000,30000,30000,10000,10000,10000,10000,10000,700000
2010,Sub-Saharan Africa,Eritrea,3310000,1920000,10000,10000,10000,20000,10000,10000,5250000
2010,Europe,Estonia,540000,10000,800000,10000,10000,10000,10000,10000,1340000
2010,Sub-Saharan Africa,Ethiopia,52070000,28680000,50000,10000,10000,2130000,10000,10000,82950000
2010,Europe,Faeroe Islands,50000,10000,10000,10000,10000,10000,10000,10000,50000
2010,Latin America-Caribbean,Falkland Islands (Malvinas),10000,10000,10000,10000,10000,10000,10000,10000,10000
2010,Asia-Pacific,Fiji,550000,50000,10000,240000,10000,10000,10000,10000,860000
2010,Europe,Finland,4300000,40000,1020000,10000,10000,10000,10000,10000,5360000
2010,Europe,France,39560000,4710000,17580000,30000,280000,220000,100000,310000,62790000
2010,Latin America-Caribbean,French Guiana,200000,10000,10000,10000,10000,20000,10000,10000,230000
2010,Asia-Pacific,French Polynesia,250000,10000,10000,10000,10000,10000,10000,10000,270000
2010,Sub-Saharan Africa,Gabon,1150000,170000,80000,10000,10000,90000,10000,10000,1510000
2010,Sub-Saharan Africa,Gambia,80000,1640000,10000,10000,10000,10000,10000,10000,1730000
2010,Europe,Georgia,3850000,470000,30000,10000,10000,10000,10000,10000,4350000
2010,Europe,Germany,56540000,4760000,20350000,80000,210000,40000,100000,230000,82300000
2010,Sub-Saharan Africa,Ghana,18260000,3860000,1020000,10000,10000,1200000,40000,10000,24390000
2010,Europe,Gibraltar,30000,10000,10000,10000,10000,10000,10000,10000,30000
2010,Europe,Greece,10010000,610000,700000,20000,10000,10000,10000,10000,11360000
2010,North America,Greenland,50000,10000,10000,10000,10000,10000,10000,10000,60000
2010,Latin America-Caribbean,Grenada,100000,10000,10000,10000,10000,10000,10000,10000,100000
2010,Latin America-Caribbean,Guadeloupe,440000,10000,10000,10000,10000,10000,10000,10000,460000
2010,Asia-Pacific,Guam,170000,10000,10000,10000,10000,10000,10000,10000,180000
2010,Latin America-Caribbean,Guatemala,13690000,10000,590000,10000,10000,80000,10000,10000,14390000
2010,Sub-Saharan Africa,Guinea,1090000,8430000,180000,10000,10000,270000,10000,10000,9980000
2010,Sub-Saharan Africa,Guinea-Bissau,300000,680000,70000,10000,10000,470000,10000,10000,1520000
